,autor,titulo,tema,year
0,Maria  Antunica  Noguerol1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
1,Maia  Ludmila  Budziñski1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
2,Clara  Sokn1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
3,Romina  Gobbini1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
4,Sergio Senin1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
5,Nils Gassen1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
6,Theo Rein1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
7,Ana Clara Liberman1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
8,Eduardo Arzt1°,P2.-SUMOylation is a key modulator of glucocorticoid receptor activity in the neuronal context ,Cellular and Molecular Neurobiology ,2015
9,Facundo Avarez Heduan1°,P3.-Purinergic modulation of synaptic activity at the efferent synapse in mice inner ear ,Cellular and Molecular Neurobiology ,2015
10,Juan Diego Goutman1°,P3.-Purinergic modulation of synaptic activity at the efferent synapse in mice inner ear ,Cellular and Molecular Neurobiology ,2015
11,Ana Belén Elgoyhen1° 2°,P3.-Purinergic modulation of synaptic activity at the efferent synapse in mice inner ear ,Cellular and Molecular Neurobiology ,2015
12,Federico  Barabas2°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
13,Mónica  Remedi1°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
14,Mariano  Bisbal1°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
15,Phil  A.  Barker3°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
16,Fernando  D Stefani2°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
17,Alfredo O. Cáceres1°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
18,Nicolás Unsain1°,P4.-Characterizing cytoskeleton changes during axonal degeneration ,Cellular and Molecular Neurobiology ,2015
19,,P5.-Shared  molecular  complexes  Between  Kidney  and  Brain:  Podocyte Proteins in the Cerebellum ,Cellular and Molecular neurobiology ,2015
20,Maria  Mercedes  Benedetto1°,P6.-Low Led Light Effects in Visual and Nonvisual Photoreceptor Cells ,Cellular and Molecular Neurobiology ,2015
21,Maria  Luz  Quinteros  Quintana2°,P6.-Low Led Light Effects in Visual and Nonvisual Photoreceptor Cells ,Cellular and Molecular Neurobiology ,2015
22,Mario  Eduardo  Guido1°,P6.-Low Led Light Effects in Visual and Nonvisual Photoreceptor Cells ,Cellular and Molecular Neurobiology ,2015
23,Maria Ana Contin1°,P6.-Low Led Light Effects in Visual and Nonvisual Photoreceptor Cells ,Cellular and Molecular Neurobiology ,2015
24,Bruno G Berardino,P7.-Altered miRNA expression profile in the hypothalamus of perinatally malnourished mice ,Cellular and Molecular Neurobiology ,2015
25,Estefanía A Fesser,P7.-Altered miRNA expression profile in the hypothalamus of perinatally malnourished mice ,Cellular and Molecular Neurobiology ,2015
26,Mariela Chertoff,P7.-Altered miRNA expression profile in the hypothalamus of perinatally malnourished mice ,Cellular and Molecular Neurobiology ,2015
27,Eduardo T Cánepa,P7.-Altered miRNA expression profile in the hypothalamus of perinatally malnourished mice ,Cellular and Molecular Neurobiology ,2015
28,María  Alejandra  Bernardi1°,P8.-Electrical  manipulation  of  Dopaminergic  Neurons  to  modulate  its survival ,Cellular and Molecular Neurobiology ,2015
29,Natalia  BaffaTrasci1°,P8.-Electrical  manipulation  of  Dopaminergic  Neurons  to  modulate  its survival ,Cellular and Molecular Neurobiology ,2015
30,Oscar  Gershanik1°,P8.-Electrical  manipulation  of  Dopaminergic  Neurons  to  modulate  its survival ,Cellular and Molecular Neurobiology ,2015
31,María  Elena  Avale2°,P8.-Electrical  manipulation  of  Dopaminergic  Neurons  to  modulate  its survival ,Cellular and Molecular Neurobiology ,2015
32,Juan Ferrario1°,P8.-Electrical  manipulation  of  Dopaminergic  Neurons  to  modulate  its survival ,Cellular and Molecular Neurobiology ,2015
33,María Laura Bertoldi,P9.-Contribution  of  MeCP2  and  synaptic  activity  to  hippocampal structural plasticity ,Cellular and Molecular Neurobiology ,2015
34,María Inés Zalosnik,P9.-Contribution  of  MeCP2  and  synaptic  activity  to  hippocampal structural plasticity ,Cellular and Molecular Neurobiology ,2015
35,Alicia L. Degano,P9.-Contribution  of  MeCP2  and  synaptic  activity  to  hippocampal structural plasticity ,Cellular and Molecular Neurobiology ,2015
36,Maria  Julia  Busso1°,P10.-Synaptic  composition  and  protein  acetylation  change  during Inhibitory avoidance Consolidation in mice. ,Cellular and Molecular Neurobiology ,2015
37,Mariano  Boccia2°,P10.-Synaptic  composition  and  protein  acetylation  change  during Inhibitory avoidance Consolidation in mice. ,Cellular and Molecular Neurobiology ,2015
38,Mariano  Blake2°,P10.-Synaptic  composition  and  protein  acetylation  change  during Inhibitory avoidance Consolidation in mice. ,Cellular and Molecular Neurobiology ,2015
39,Angeles  Salles1°,P10.-Synaptic  composition  and  protein  acetylation  change  during Inhibitory avoidance Consolidation in mice. ,Cellular and Molecular Neurobiology ,2015
40,Ramiro Freudenthal1°,P10.-Synaptic  composition  and  protein  acetylation  change  during Inhibitory avoidance Consolidation in mice. ,Cellular and Molecular Neurobiology ,2015
41,Florentyna Bustos Plonka1°,P11.-Selected SNARE proteins are essential for the polarized membrane insertion of IGF-1 receptor and the regulation of initial axonal outgrowth in neurons ,Cellular and Molecular Neurobiology ,2015
42,Diego Grassi2°,P11.-Selected SNARE proteins are essential for the polarized membrane insertion of IGF-1 receptor and the regulation of initial axonal outgrowth in neurons ,Cellular and Molecular Neurobiology ,2015
43,Santiago Quiroga1°,P11.-Selected SNARE proteins are essential for the polarized membrane insertion of IGF-1 receptor and the regulation of initial axonal outgrowth in neurons ,Cellular and Molecular Neurobiology ,2015
44,Vanesa  Cadena,P12.-Triggering  Receptor  Expressed  on  Myeloid  cells-2 expression is induced by brain ischemia and DAMPs ,Cellular and Molecular Neurobiology ,2015
45,Gerardo  Rosciszewski,P12.-Triggering  Receptor  Expressed  on  Myeloid  cells-2 expression is induced by brain ischemia and DAMPs ,Cellular and Molecular Neurobiology ,2015
46,Jeronimo  Lukin,P12.-Triggering  Receptor  Expressed  on  Myeloid  cells-2 expression is induced by brain ischemia and DAMPs ,Cellular and Molecular Neurobiology ,2015
47,Veronica  Murta,P12.-Triggering  Receptor  Expressed  on  Myeloid  cells-2 expression is induced by brain ischemia and DAMPs ,Cellular and Molecular Neurobiology ,2015
48,Alicia  Rossi,P12.-Triggering  Receptor  Expressed  on  Myeloid  cells-2 expression is induced by brain ischemia and DAMPs ,Cellular and Molecular Neurobiology ,2015
49,Alberto Javier Ramos,P12.-Triggering  Receptor  Expressed  on  Myeloid  cells-2 expression is induced by brain ischemia and DAMPs ,Cellular and Molecular Neurobiology ,2015
50,Tomás Roberto Carden,P13.-Transferrin enhances neuroblastoma cell line maturation. ,Cellular and Molecular Neurobiology ,2015
51,María Julia Pérez,P13.-Transferrin enhances neuroblastoma cell line maturation. ,Cellular and Molecular Neurobiology ,2015
52,Juana María Pasquini,P13.-Transferrin enhances neuroblastoma cell line maturation. ,Cellular and Molecular Neurobiology ,2015
53,Alejandro  Raúl  Cinalli1°,P14.-Comparative  expression  analysis  of  human  and  chimpanzee nervous system enhancers of the NPAS3 locus ,Cellular and Molecular Neurobiology ,2015
54,Gretel  Betiana  Kamm1°,P14.-Comparative  expression  analysis  of  human  and  chimpanzee nervous system enhancers of the NPAS3 locus ,Cellular and Molecular Neurobiology ,2015
55,Milena  Luciana  Rosenzvit1°,P14.-Comparative  expression  analysis  of  human  and  chimpanzee nervous system enhancers of the NPAS3 locus ,Cellular and Molecular Neurobiology ,2015
56,Marcelo Rubinstein1°2°,P14.-Comparative  expression  analysis  of  human  and  chimpanzee nervous system enhancers of the NPAS3 locus ,Cellular and Molecular Neurobiology ,2015
57,Lucía Florencia Franchini1°,P14.-Comparative  expression  analysis  of  human  and  chimpanzee nervous system enhancers of the NPAS3 locus ,Cellular and Molecular Neurobiology ,2015
58,Andrea Comba,P15.-Cell  death  susceptibility  of  human  glioma  cells  to  Bortezomib treatment is R-CRT regulated ,Cellular and Molecular Neurobiology ,2015
59,Victor E. Goitea,P15.-Cell  death  susceptibility  of  human  glioma  cells  to  Bortezomib treatment is R-CRT regulated ,Cellular and Molecular Neurobiology ,2015
60,Mauricio R. Galiano,P15.-Cell  death  susceptibility  of  human  glioma  cells  to  Bortezomib treatment is R-CRT regulated ,Cellular and Molecular Neurobiology ,2015
61,Marta E. Hallak,P15.-Cell  death  susceptibility  of  human  glioma  cells  to  Bortezomib treatment is R-CRT regulated ,Cellular and Molecular Neurobiology ,2015
62,Santiago Cordisco Gonzalez1°,P16.-Melanocortin  4  receptor  (MC4R)  constitutive  activity specific voltage-gated calcium channels subtypes ,Cellular and Molecular Neurobiology ,2015
63,Silvia S Rodriguez1°,P16.-Melanocortin  4  receptor  (MC4R)  constitutive  activity specific voltage-gated calcium channels subtypes ,Cellular and Molecular Neurobiology ,2015
64,Mario Perelló2°,P16.-Melanocortin  4  receptor  (MC4R)  constitutive  activity specific voltage-gated calcium channels subtypes ,Cellular and Molecular Neurobiology ,2015
65,Jesica Raingo1°,P16.-Melanocortin  4  receptor  (MC4R)  constitutive  activity specific voltage-gated calcium channels subtypes ,Cellular and Molecular Neurobiology ,2015
66,Francina Agosti1°,P16.-Melanocortin  4  receptor  (MC4R)  constitutive  activity specific voltage-gated calcium channels subtypes ,Cellular and Molecular Neurobiology ,2015
67,Romina P. Coullery,P17.-Neuronal development and axon growth are altered by glyphosate through a WNT non-canonical signalling pathway ,Cellular and Molecular Neurobiology ,2015
68,Silvana Rosso,P17.-Neuronal development and axon growth are altered by glyphosate through a WNT non-canonical signalling pathway ,Cellular and Molecular Neurobiology ,2015
69,Ana Damianich1°,P18.-Neurochemical  phenotypes  rescued  in  Tau  Knock-out  mice  by human Tau re-expression ,Cellular and Molecular Neurobiology ,2015
70,Sonia Espindola1°,P18.-Neurochemical  phenotypes  rescued  in  Tau  Knock-out  mice  by human Tau re-expression ,Cellular and Molecular Neurobiology ,2015
71,Irene Taravini2°,P18.-Neurochemical  phenotypes  rescued  in  Tau  Knock-out  mice  by human Tau re-expression ,Cellular and Molecular Neurobiology ,2015
72,Elena Avale1°,P18.-Neurochemical  phenotypes  rescued  in  Tau  Knock-out  mice  by human Tau re-expression ,Cellular and Molecular Neurobiology ,2015
73,Pablo  Nicolás  De  Francesco1°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
74,Daniel  Castrogiovanni2°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
75,Maia  Uriarte1°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
76,Victoria  Frassa1°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
77,Francina Agosti3°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
78,Mirta Reynaldo1°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
79,Jesica Raingo3°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
80,Mario Perelló1°,P19.-An improved method for primary culture of hypothalamic tanycytes ,Cellular and Molecular Neurobiology ,2015
81,Daniela Di Bella,P20.-ASCL1 regulates late neurogenic events in the ventral neural tube ,Cellular and Molecular Neurobiology ,2015
82,Abel Carcagno,P20.-ASCL1 regulates late neurogenic events in the ventral neural tube ,Cellular and Molecular Neurobiology ,2015
83,Luciano Brum,P20.-ASCL1 regulates late neurogenic events in the ventral neural tube ,Cellular and Molecular Neurobiology ,2015
84,Guillermo Lanuza,P20.-ASCL1 regulates late neurogenic events in the ventral neural tube ,Cellular and Molecular Neurobiology ,2015
85,Yanina Ditamo,P21.-Post-Translational Incorporation Of L-Phenylalanine Into the COOH-terminus of α-tubulin in living cells ,Cellular and Molecular Neurobiology ,2015
86,Yanela M. Dentesano,P21.-Post-Translational Incorporation Of L-Phenylalanine Into the COOH-terminus of α-tubulin in living cells ,Cellular and Molecular Neurobiology ,2015
87,Carlos A. Arce,P21.-Post-Translational Incorporation Of L-Phenylalanine Into the COOH-terminus of α-tubulin in living cells ,Cellular and Molecular Neurobiology ,2015
88,C. Gastón Bisig,P21.-Post-Translational Incorporation Of L-Phenylalanine Into the COOH-terminus of α-tubulin in living cells ,Cellular and Molecular Neurobiology ,2015
89,Edith  Sandra  Durand1°,P22.-The  Carboxi-Terminal  Domain  of  Myelin  Basic  Protein  Mediates Microtubules Stability ,Cellular and Molecular Neurobiology ,2015
90,Mauricio  Raúl  Galiano1°,P22.-The  Carboxi-Terminal  Domain  of  Myelin  Basic  Protein  Mediates Microtubules Stability ,Cellular and Molecular Neurobiology ,2015
91,Andrea  Lis  Miranda1°,P22.-The  Carboxi-Terminal  Domain  of  Myelin  Basic  Protein  Mediates Microtubules Stability ,Cellular and Molecular Neurobiology ,2015
92,Christophe  Bosc2°,P22.-The  Carboxi-Terminal  Domain  of  Myelin  Basic  Protein  Mediates Microtubules Stability ,Cellular and Molecular Neurobiology ,2015
93,Marta Elena Hallak1°,P22.-The  Carboxi-Terminal  Domain  of  Myelin  Basic  Protein  Mediates Microtubules Stability ,Cellular and Molecular Neurobiology ,2015
94,Sonia L Espindola,P23.-Modulation  of  TAU  isoforms  by  RNA  reprogramming:  phenotypic recovery in a mouse model of Tauopathy ,Cellular and Molecular Neurobiology ,2015
95,Ana Damianich,P23.-Modulation  of  TAU  isoforms  by  RNA  reprogramming:  phenotypic recovery in a mouse model of Tauopathy ,Cellular and Molecular Neurobiology ,2015
96,Zoe Blanck,P23.-Modulation  of  TAU  isoforms  by  RNA  reprogramming:  phenotypic recovery in a mouse model of Tauopathy ,Cellular and Molecular Neurobiology ,2015
97,Elena M Avale,P23.-Modulation  of  TAU  isoforms  by  RNA  reprogramming:  phenotypic recovery in a mouse model of Tauopathy ,Cellular and Molecular Neurobiology ,2015
98,Eugenia Falomir Lockhart,P24.-Is microglia one of the mediators of IGF-1 effects on aged rats? ,Cellular and Molecular Neurobiology ,2015
99,Claudia Hereñu,P24.-Is microglia one of the mediators of IGF-1 effects on aged rats? ,Cellular and Molecular Neurobiology ,2015
100,Maria Jose Bellini,P24.-Is microglia one of the mediators of IGF-1 effects on aged rats? ,Cellular and Molecular Neurobiology ,2015
101,Magdalena Fernandez Acosta,"P25.-From behavior to specific genes, and back again ",Cellular and Molecular Neurobiology ,2015
102,Guillermo Bernabo,"P25.-From behavior to specific genes, and back again ",Cellular and Molecular Neurobiology ,2015
103,Maria Fernanda Ceriani,"P25.-From behavior to specific genes, and back again ",Cellular and Molecular Neurobiology ,2015
104,María Edith Ferrari,P26.-Wnt-Fz  signaling  regulates  dendrite  architecture  through  the  co-activation of CaMKII and JNK pathways ,Cellular and Molecular Neurobiology ,2015
105,Silvana B. Rosso,P26.-Wnt-Fz  signaling  regulates  dendrite  architecture  through  the  co-activation of CaMKII and JNK pathways ,Cellular and Molecular Neurobiology ,2015
106,Nadina  M.  Ferroni1°,P27.-Early-life  protein  malnutrition  delays  physical  and  neurological development and causes long-lasting behavioral changes in mice ,Cellular and Molecular Neurobiology ,2015
107,Laura  M.  Belluscio1°,P27.-Early-life  protein  malnutrition  delays  physical  and  neurological development and causes long-lasting behavioral changes in mice ,Cellular and Molecular Neurobiology ,2015
108,Bruno  G.  Berardino1°,P27.-Early-life  protein  malnutrition  delays  physical  and  neurological development and causes long-lasting behavioral changes in mice ,Cellular and Molecular Neurobiology ,2015
109,Carolina  D.  Alberca1°,P27.-Early-life  protein  malnutrition  delays  physical  and  neurological development and causes long-lasting behavioral changes in mice ,Cellular and Molecular Neurobiology ,2015
110,Eduardo T. Cánepa1°,P27.-Early-life  protein  malnutrition  delays  physical  and  neurological development and causes long-lasting behavioral changes in mice ,Cellular and Molecular Neurobiology ,2015
111,Karina Formoso,"P28.-Non in  GPM6A´s transmembrane  domain  coding  region:  In  silico  analysis  and  in  vitro study  of  the  effect  of  point  mutations  in  synapse  formation,  self-interaction and protein stability ",Cellular and Molecular Neurobiology ,2015
112,Micaela D Garcia,"P28.-Non in  GPM6A´s transmembrane  domain  coding  region:  In  silico  analysis  and  in  vitro study  of  the  effect  of  point  mutations  in  synapse  formation,  self-interaction and protein stability ",Cellular and Molecular Neurobiology ,2015
113,Alberto CC Frasch,"P28.-Non in  GPM6A´s transmembrane  domain  coding  region:  In  silico  analysis  and  in  vitro study  of  the  effect  of  point  mutations  in  synapse  formation,  self-interaction and protein stability ",Cellular and Molecular Neurobiology ,2015
114,Camila Scorticati,"P28.-Non in  GPM6A´s transmembrane  domain  coding  region:  In  silico  analysis  and  in  vitro study  of  the  effect  of  point  mutations  in  synapse  formation,  self-interaction and protein stability ",Cellular and Molecular Neurobiology ,2015
115,Jimena  Laura  Frontera,P29.-Effect  of  prenatal  exposure  to  cannabinoid  agonist  on  ethanol preference in adolescent mice ,Cellular and Molecular Neurobiology ,2015
