,autor,tema,poster
0,Luis E. Boero1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition 
1, Marcelo J. Moglie1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition 
2, Sofia L. Gallino1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition 
3," Agustín E. Carpaneto 
Freixas1",Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition 
4, Tais Castagnola1,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition 
5, Mariano N. Di Guilmi1 ,Brain Awareness Week Activities ,P2.-Can you listen? Can you hear me? A talk about audition 
6,Joana Asensio1,Brain Awareness Week Activities ,P3.-Musical learning 
7, Andrea Barauna1,Brain Awareness Week Activities ,P3.-Musical learning 
8, Martín Chrabalowski2,Brain Awareness Week Activities ,P3.-Musical learning 
9, Cristina Croce1,Brain Awareness Week Activities ,P3.-Musical learning 
10," 
Estefanía Farias Altamirano1",Brain Awareness Week Activities ,P3.-Musical learning 
11, Leandro Freites1,Brain Awareness Week Activities ,P3.-Musical learning 
12, Paula López1,Brain Awareness Week Activities ,P3.-Musical learning 
13," Esperanza Mata 
Martínez1",Brain Awareness Week Activities ,P3.-Musical learning 
14, Andrea Páez2,Brain Awareness Week Activities ,P3.-Musical learning 
15, Elena Vásquez1 ,Brain Awareness Week Activities ,P3.-Musical learning 
16,Macarena Lorena Herrera2,Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life "
17, Eugenia Falomir Lockhart1,Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life "
18," Franco Juan-Cruz 
Dolcetti1",Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life "
19, María José Bellini1 ,Brain Awareness Week Activities ,"P4.-The Relator Brain- Short Stories contest about 
Neuroscience and Life "
20,Maria Cecilia Perondi2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
21, Macarena Lorena Herrera2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
22, Andrea Otamendi2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
23," Alberto 
Leandro Oliveros2",Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
24, Maximiliano Nicolas Rios1,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
25, Osvaldo Martin Basmadjian2,Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
26," 
Natalia Andrea Marchese1 ",Brain Awareness Week Activities ," 
P5.-The cinephile Brain- Short films, talks and debate sessions 
on neuropathologies "
27,Franco Mir1,Brain Awareness Week Activities ,"P6.-BAW 209 – FCEFyN, UNC "
28, M. Angélica Rivarola1,Brain Awareness Week Activities ,"P6.-BAW 209 – FCEFyN, UNC "
29, Laura Vivas1 ,Brain Awareness Week Activities ,"P6.-BAW 209 – FCEFyN, UNC "
30,D. Lorena Franco1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche 
31, Laura Mazzitelli - Fuentes1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche 
32, Sabrina Riva1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche 
33," Fernanda R. 
Roman1",Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche 
34, Ángela I. Tissone1,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche 
35, Inés Samengo1 ,Brain Awareness Week Activities ,P7.-BAW 2019 - Bariloche 
36,María Florencia Rossetti1,Brain Awareness Week Activities ,P8.-Let´s take care about our brain 
37, Guillermina Canesini1,Brain Awareness Week Activities ,P8.-Let´s take care about our brain 
38, Rocio Schumacher1,Brain Awareness Week Activities ,P8.-Let´s take care about our brain 
39," Nicólas 
Fabre1",Brain Awareness Week Activities ,P8.-Let´s take care about our brain 
40, Jorge Guillermo Ramos1 ,Brain Awareness Week Activities ,P8.-Let´s take care about our brain 
41,María Constanza Paz2,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
42, Nahir Guadalupe Gazal1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
43, Paula Virginia Subirada2,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
44," 
Constanza Milena Jandar Paz1",Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
45, Alberto Leandro Oliveros3,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
46, Andrea Guzman3,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
47," 
Maria Victoria Vaglienti2",Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
48, Sebastian Miranda1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
49, Asier Angulo1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
50, Génesis D'aloisio1,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
51," 
Laura Gastaldi5",Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
52, Victoria Pisano4,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
53, Cecilia Sánchez2,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
54, Nicolas Unsain1 ,Brain Awareness Week Activities ,"P9.-Brain Awareness YEAR - 2019: PIs and PhD students visit 
1K 4th-grade students across Córdoba with the 5-years-old 
activity “Neuroscience of he Senses” "
55,Paula Sarchi1,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia "
56, María Belén Cieri1,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia "
57, Alejandro Villarreal1,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia "
58, Verónica Murta1 ,Brain Awareness Week Activities ,"P10.-How much do you know about neuroscience? Did you 
know that neurons are not the most abundant cells in the 
brain? Let’s talk about glia "
59,Lucia S. Acosta1,Cellular and Molecular Neurobiology ,"P11.-Changes in the messenger RNA of the nicotinic receptor 
subunits in the aging mouse hippocampus "
60, Alejandro O. Sodero1 ,Cellular and Molecular Neurobiology ,"P11.-Changes in the messenger RNA of the nicotinic receptor 
subunits in the aging mouse hippocampus "
61,Lucas Acosta1,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism 
62, Analía Karadayian2,Cellular and Molecular Neurobiology ,P12.-Effects of ammonium on PC12 cells energy metabolism 
