,tema,autor,titulo
0,Cellular and Molecular Neurobiology  ,Jesica Raingo   ,Melanocortin receptor type 4 (MC4) differentially modulates neuronal voltage operated calcium channels (VOCCs) subtypes 
1,Cellular and Molecular Neurobiology  ,hippocampus Alejandra Inés Aguirre 3,Expression of GluN1 and GluN2A subunits of NMDA receptor 
2,Cellular and Molecular Neurobiology  , 1,Expression of GluN1 and GluN2A subunits of NMDA receptor 
3,Cellular and Molecular Neurobiology  , Magalí Cecilia Cercato 3,Expression of GluN1 and GluN2A subunits of NMDA receptor 
4,Cellular and Molecular Neurobiology  , María Verónica Baez 3,Expression of GluN1 and GluN2A subunits of NMDA receptor 
5,Cellular and Molecular Neurobiology  , 2,Expression of GluN1 and GluN2A subunits of NMDA receptor 
6,Cellular and Molecular Neurobiology  , Diana Alicia Jerusalinsky 3,Expression of GluN1 and GluN2A subunits of NMDA receptor 
7,Cellular and Molecular Neurobiology  , 1,Expression of GluN1 and GluN2A subunits of NMDA receptor 
8,Cellular and Molecular Neurobiology  , 2  ,Expression of GluN1 and GluN2A subunits of NMDA receptor 
9,Cellular and Molecular Neurobiology  ,Diego Alvarez,
10,Cellular and Molecular Neurobiology  , M. Georgina Davies-Sala,
11,Cellular and Molecular Neurobiology  , Damiana Giacomini,
12,Cellular and Molecular Neurobiology  , Alejandro F. Schinder  ,
13,Cellular and Molecular Neurobiology  ,recruitment to the presynaptic active zone. Lucía Barra,Characterization of the polyglutamine domains of Piccolo and 
14,Cellular and Molecular Neurobiology  , Jaime Villalobos,Characterization of the polyglutamine domains of Piccolo and 
15,Cellular and Molecular Neurobiology  , Camila Tapia,Characterization of the polyglutamine domains of Piccolo and 
16,Cellular and Molecular Neurobiology  , Pedro Zamorano  ,Characterization of the polyglutamine domains of Piccolo and 
17,Cellular and Molecular Neurobiology  ,energy transfer in live cells Lucas Bayonés,Characterization of M4 muscarinic acetylcholine receptor homo- 
18,Cellular and Molecular Neurobiology  , Sabrina Beltrame,Characterization of M4 muscarinic acetylcholine receptor homo- 
19,Cellular and Molecular Neurobiology  , Claudia Waldner,Characterization of M4 muscarinic acetylcholine receptor homo- 
20,Cellular and Molecular Neurobiology  , Juan Carlos Goin  ,Characterization of M4 muscarinic acetylcholine receptor homo- 
21,Cellular and Molecular Neurobiology  ,,Subcellular localization of CLP36 protein in chicken retina 
22,Cellular and Molecular Neurobiology  ,,Recruitment of arrestin-2 to activated M2 muscarinic acetylcholine receptors. Roles of G protein-coupled receptor kinase 2 and Gi(cid:1) protein 
23,Cellular and Molecular Neurobiology  ,,Looking for orsai’s genetic partners in the Drosophila eye 
24,Cellular and Molecular Neurobiology  ,Mecp2 dysfunction María Laura Bertoldi,
25,Cellular and Molecular Neurobiology  , Alicia Degano  ,
26,Cellular and Molecular Neurobiology  ,Verónica Baez 3,Hippocampal NMDA receptor subunits level is modified by LTP induction 
27,Cellular and Molecular Neurobiology  , 2,Hippocampal NMDA receptor subunits level is modified by LTP induction 
28,Cellular and Molecular Neurobiology  , Diana A. Jerusalinsky 3,Hippocampal NMDA receptor subunits level is modified by LTP induction 
29,Cellular and Molecular Neurobiology  , 1,Hippocampal NMDA receptor subunits level is modified by LTP induction 
30,Cellular and Molecular Neurobiology  , 2  ,Hippocampal NMDA receptor subunits level is modified by LTP induction 
31,Cellular and Molecular Neurobiology  ,,Wnt-CAMKII signalling pathway is involved in the neurotoxicity of glyphosate in cultured neurons. 
32,Cellular and Molecular Neurobiology  ,,Role of neurotrophins on astrogliosis induced by mechanical injury 
33,Cellular and Molecular Neurobiology ,the levels of TrkB,
34,Cellular and Molecular Neurobiology , pTrkB and p75ntr receptors in a mixed culture of neurons and astrocytes Víctor Danelon,
35,Cellular and Molecular Neurobiology , Andrea B. Cragnolini,
36,Cellular and Molecular Neurobiology ,Jabaudon  ,Reprogramming circuit connectivity in postmitotic cortical neurons 
37,Cellular and Molecular Neurobiology  ,Lanuza  ,Transcriptional Regulation of Late Neurogenic Events in the Neural Tube 
38,Cellular and Molecular Neurobiology  ,T Tsin 1,A NOVEL VISUAL CYCLE IN THE INNER RETINA OF CHICKEN 
39,Cellular and Molecular Neurobiology  , Mario E Guido 1  ,A NOVEL VISUAL CYCLE IN THE INNER RETINA OF CHICKEN 
40,Cellular and Molecular Neurobiology  ,hypoxia in transgenic TDP-43 mice Nilda Sofía Dombrovsky 1,
41,Cellular and Molecular Neurobiology  , Julio Alfieri 1,
42,Cellular and Molecular Neurobiology  , María Florencia Angelo 2,
43,Cellular and Molecular Neurobiology  , Alberto Javier Ramos 2,
44,Cellular and Molecular Neurobiology  , Lionel Muller Igaz 1  ,
45,Cellular and Molecular Neurobiology  ,,Characterization of Neural Stem Cells in the Olfactory Epithelium: Role of Sox2 and Wnt/B-catenin signaling pathway in neural differentiation. 
46,Cellular and Molecular Neurobiology ,Karina Formoso,
47,Cellular and Molecular Neurobiology , Alberto CC Frasch ,
48,Cellular and Molecular Neurobiology , Camila Scorticati  ,
